t_s,true_range_m,est_range_m,bearing_deg,left_rad_s,right_rad_s,detected
46.336,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.368,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.4,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.432,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.464,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.496,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.528,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.56,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.592,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.624,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.656,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.688,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.72,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.752,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.784,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.816,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.848,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.88,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.912,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.944,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.976,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.008,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.04,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.072,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.104,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.136,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.168,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.2,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.232,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.264,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.296,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.328,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.36,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.392,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.424,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.456,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.488,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.52,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.552,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.584,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.616,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.648,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.68,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.712,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.744,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.776,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.808,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.84,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.872,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.904,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.936,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
47.968,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.0,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.032,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.064,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.096,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.128,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.16,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.192,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.224,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.256,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.288,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.32,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.352,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.384,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.416,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.448,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.48,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.512,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.544,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.576,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.608,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.64,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.672,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.704,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.736,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.768,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.8,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.832,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.864,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.896,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.928,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.96,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
48.992,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.024,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.056,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.088,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.12,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.152,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.184,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.216,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.248,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.28,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.312,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.344,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.376,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.408,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.44,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.472,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.504,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.536,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.568,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.6,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.632,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.664,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.696,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.728,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.76,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.792,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.824,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.856,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.888,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.92,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.952,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
49.984,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.016,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.048,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.08,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.112,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.144,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.176,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.208,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.24,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.272,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.304,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.336,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.368,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.4,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.432,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.464,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.496,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.528,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.56,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.592,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.624,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.656,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.688,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.72,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.752,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.784,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.816,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.848,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.88,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.912,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.944,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
50.976,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.008,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.04,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.072,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.104,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.136,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.168,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.2,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.232,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.264,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.296,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.328,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.36,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.392,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
51.424,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
